P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,bins
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.25
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.23
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.21
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.19
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.17
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.15
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.13
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1099999999999999
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.09
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.07
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.05
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.03
0.0,0.0,0.059382422802850304,0.0,0.13003901170351095,0.0,0.0,0.0,0.0,0.0,-1.01
0.0,0.0,0.0,0.0,0.1950585175552664,0.0,0.0,0.0,0.0,0.0,-0.99
0.0,0.0,0.0,0.0,0.2600780234070219,0.042408821034775196,0.0,0.0,0.0,0.0,-0.97
0.0,0.0,0.0,0.0,0.06501950585175548,0.0,0.0,0.0,0.0,0.11337868480725614,-0.95
0.0,0.0,0.0,0.0,0.13003901170351095,0.042408821034775196,0.0,0.0,0.0,0.0,-0.9299999999999999
0.0,0.0,0.0,0.0,0.06501950585175584,0.0,0.0,0.0,0.0,0.0,-0.9099999999999999
0.0,0.0,0.0,0.0,0.13003901170351095,0.0,0.0,0.0,0.0,0.0,-0.89
0.0,0.0,0.0,0.0,0.2600780234070219,0.042408821034775196,0.0,0.0,0.0,0.0,-0.87
0.0,0.0,0.05938242280285064,0.0,0.06501950585175584,0.0,0.0,0.0,0.0,0.0,-0.85
0.0,0.0,0.0,0.0,0.13003901170351095,0.0,0.0,0.0,0.0,0.0,-0.8300000000000001
0.0,0.0,0.0,0.0,0.1950585175552664,0.042408821034775196,0.0,0.0,0.0,0.0,-0.81
0.0,0.0,0.0,0.0,0.06501950585175548,0.042408821034775196,0.0,0.0,0.0,0.0,-0.79
0.0,0.0,0.059382422802850304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.77
0.0,0.0,0.0,0.0,0.0,0.042408821034775196,0.0,0.054229934924078044,0.0,0.0,-0.75
0.09765624999999992,0.0,0.059382422802850304,0.0,0.0,0.1272264631043256,0.0,0.16268980477223413,0.09671179883945834,0.0,-0.73
0.0,0.0,0.0,0.10660980810234533,0.0,0.08481764206955039,0.0,0.0,0.09671179883945834,0.0,-0.71
0.0,0.0,0.05938242280285064,0.0,0.0,0.08481764206955086,0.0,0.10845986984815668,0.0,0.0,-0.69
0.0,0.08130081300813001,0.0,0.0,0.13003901170351095,0.08481764206955039,0.0,0.0,0.0,0.0,-0.67
0.0,0.0,0.059382422802850304,0.0,0.13003901170351095,0.08481764206955039,0.0,0.2711496746203902,0.0,0.0,-0.65
0.0,0.0,0.0,0.10660980810234533,0.06501950585175548,0.1272264631043256,0.0,0.054229934924078044,0.0,0.0,-0.63
0.0,0.16260162601626002,0.0,0.10660980810234533,0.45513654096228834,0.21204410517387598,0.0,0.21691973969631217,0.0,0.0,-0.61
0.19531249999999983,0.16260162601626002,0.0,0.10660980810234533,0.7802340702210656,0.21204410517387598,0.10141987829614596,0.2711496746203902,0.09671179883945834,0.0,-0.59
0.0,0.08130081300813001,0.11876484560570061,0.0,0.32509752925877733,0.042408821034775196,0.0,0.2711496746203902,0.0,0.0,-0.57
0.0,0.0,0.05938242280285064,0.10660980810234591,0.78023407022107,0.2544529262086526,0.10141987829614652,0.37960954446854844,0.09671179883945887,0.0,-0.5499999999999999
0.19531249999999983,0.32520325203252004,0.1781472684085509,0.0,1.1703511053315985,0.2544529262086512,0.10141987829614596,0.37960954446854633,0.0,0.11337868480725614,-0.53
0.09765624999999992,0.24390243902439002,0.11876484560570061,0.10660980810234533,0.5851755526657992,0.21204410517387598,0.20283975659229192,0.6507592190889365,0.29013539651837494,0.11337868480725614,-0.51
0.0,0.08130081300813001,0.11876484560570061,0.10660980810234533,1.7555266579973978,0.42408821034775196,0.10141987829614596,0.9219088937093267,0.09671179883945834,0.0,-0.49
0.0,0.16260162601626002,0.1781472684085509,0.21321961620469065,0.975292587776332,0.2544529262086512,0.0,0.5965292841648585,0.29013539651837494,0.0,-0.47
0.19531249999999983,0.32520325203252004,0.11876484560570061,0.3198294243070359,0.9102730819245767,0.33927056827820157,0.20283975659229192,1.0845986984815608,0.19342359767891668,0.0,-0.44999999999999996
0.09765625000000046,0.0,0.05938242280285064,0.21321961620469182,1.3003901170351166,0.33927056827820345,0.20283975659229303,1.409978308026037,0.38684719535783546,0.11337868480725677,-0.42999999999999994
0.09765624999999992,0.40650406504065006,0.11876484560570061,0.10660980810234533,1.6254876462938868,0.42408821034775196,0.10141987829614596,1.030368763557483,0.19342359767891668,0.0,-0.41000000000000003
0.19531249999999983,0.6504065040650401,0.059382422802850304,0.3198294243070359,2.4057217165149525,0.2544529262086512,0.3042596348884378,0.8134490238611706,0.38684719535783335,0.11337868480725614,-0.39
